0,3.7551,3.8631
1,3.7185,3.8048
2,3.6767,3.8122
3,3.6427,3.7756
4,3.6035,3.6538
5,3.5616,3.6604
6,3.5210,3.6590
7,3.5068,3.6392
8,3.4564,3.5730
9,3.4186,3.5757
10,3.3980,3.4954
11,3.3701,3.4845
12,3.3457,3.4411
13,3.3159,3.3932
14,3.2865,3.3945
15,3.2613,3.4079
16,3.2345,3.3433
17,3.1997,3.2955
18,3.1903,3.3068
19,3.1616,3.2651
20,3.1480,3.2569
21,3.1171,3.2567
22,3.1127,3.1863
23,3.0684,3.2059
24,3.0350,3.1160
25,3.0220,3.1337
26,2.9961,3.0779
27,2.9914,3.0930
28,2.9738,3.0938
29,2.9630,3.0885
