63474 labeled and 2044801 unlabeled issues before filtering
24585 labeled and 179790 unlabeled issues after filtering
Run: 1, Loss: 0.9625, val_loss: 0.9530
Run: 2, Loss: 0.9354, val_loss: 0.9279
Run: 3, Loss: 0.9395, val_loss: 0.9360
Run: 4, Loss: 0.9347, val_loss: 0.9247
Run: 5, Loss: 0.9424, val_loss: 0.9345
Run: 6, Loss: 0.9369, val_loss: 0.9276
Run: 7, Loss: 0.9906, val_loss: 0.9911
Run: 8, Loss: 0.9384, val_loss: 0.9340
Run: 9, Loss: 0.9914, val_loss: 0.9965
Run: 10, Loss: 0.9314, val_loss: 0.9223
Run: 11, Loss: 0.9274, val_loss: 0.9158
Run: 12, Loss: 0.9386, val_loss: 0.9383
Run: 13, Loss: 0.9245, val_loss: 0.9144
Run: 14, Loss: 0.9554, val_loss: 0.9512
Run: 15, Loss: 0.9308, val_loss: 0.9205
Run: 16, Loss: 0.9668, val_loss: 0.9626
Run: 17, Loss: 0.9129, val_loss: 0.9135
Run: 18, Loss: 0.9241, val_loss: 0.9205
Run: 19, Loss: 0.9358, val_loss: 0.9177
Run: 20, Loss: 0.9433, val_loss: 0.9262
Run: 21, Loss: 0.9397, val_loss: 0.9213
Run: 22, Loss: 0.9771, val_loss: 0.9785
Run: 23, Loss: 0.9402, val_loss: 0.9280
Run: 24, Loss: 0.9425, val_loss: 0.9200
Run: 25, Loss: 0.9539, val_loss: 0.9325
Run: 26, Loss: 0.9342, val_loss: 0.9207
Run: 27, Loss: 0.9475, val_loss: 0.9394
Run: 28, Loss: 0.9569, val_loss: 0.9391
Run: 29, Loss: 0.9412, val_loss: 0.9287
Run: 30, Loss: 0.9327, val_loss: 0.9311
Run: 31, Loss: 0.9372, val_loss: 0.9315
Run: 32, Loss: 0.9400, val_loss: 0.9308
Run: 33, Loss: 0.9454, val_loss: 0.9378
Run: 34, Loss: 0.9832, val_loss: 0.9662
Run: 35, Loss: 0.9536, val_loss: 0.9446
Run: 36, Loss: 0.9188, val_loss: 0.9148
Run: 37, Loss: 0.9306, val_loss: 0.9263
Run: 38, Loss: 0.9226, val_loss: 0.9233
Run: 39, Loss: 0.9417, val_loss: 0.9343
Run: 40, Loss: 0.9238, val_loss: 0.9080
Run: 41, Loss: 0.9402, val_loss: 0.9334
Run: 42, Loss: 0.9163, val_loss: 0.9140
Run: 43, Loss: 0.9428, val_loss: 0.9260
Run: 44, Loss: 0.9267, val_loss: 0.9286
Run: 45, Loss: 0.9883, val_loss: 0.9884
Run: 46, Loss: 0.9322, val_loss: 0.9092
Run: 47, Loss: 0.9395, val_loss: 0.9252
Run: 48, Loss: 0.9243, val_loss: 0.9152
Run: 49, Loss: 0.9317, val_loss: 0.9197
Run: 50, Loss: 0.9351, val_loss: 0.9262
Run: 51, Loss: 0.9492, val_loss: 0.9328
Run: 52, Loss: 0.9457, val_loss: 0.9279
Run: 53, Loss: 0.9151, val_loss: 0.9126
Run: 54, Loss: 0.9253, val_loss: 0.9210
Run: 55, Loss: 0.9373, val_loss: 0.9257
Run: 56, Loss: 0.9229, val_loss: 0.9140
Run: 57, Loss: 0.9153, val_loss: 0.9127
Run: 58, Loss: 0.9465, val_loss: 0.9289
Run: 59, Loss: 0.9817, val_loss: 0.9835
Run: 60, Loss: 0.9183, val_loss: 0.9158
Run: 61, Loss: 0.9418, val_loss: 0.9323
Run: 62, Loss: 0.9443, val_loss: 0.9268
Run: 63, Loss: 0.9416, val_loss: 0.9156
Run: 64, Loss: 0.9196, val_loss: 0.9188
Run: 65, Loss: 0.9157, val_loss: 0.9140
Run: 66, Loss: 0.9153, val_loss: 0.9141
Run: 67, Loss: 0.9279, val_loss: 0.9202
Run: 68, Loss: 0.9229, val_loss: 0.9137
Run: 69, Loss: 0.9173, val_loss: 0.9186
Run: 70, Loss: 0.9106, val_loss: 0.9177
Run: 71, Loss: 0.9251, val_loss: 0.9182
Run: 72, Loss: 0.9250, val_loss: 0.9218
Run: 73, Loss: 0.9301, val_loss: 0.9139
Run: 74, Loss: 0.9180, val_loss: 0.9056
Run: 75, Loss: 0.9186, val_loss: 0.9162
Run: 76, Loss: 0.9080, val_loss: 0.9125
Run: 77, Loss: 0.9446, val_loss: 0.9375
