0,3.8444,3.9049
1,3.8055,3.8810
2,3.7589,3.8293
3,3.7182,3.7888
4,3.6724,3.7433
5,3.6282,3.7034
6,3.5934,3.6690
7,3.5536,3.6294
8,3.5161,3.5955
9,3.4849,3.5645
10,3.4552,3.5266
11,3.4209,3.4947
12,3.3895,3.4714
13,3.3632,3.4479
14,3.3367,3.4119
15,3.3185,3.3881
16,3.2930,3.3691
17,3.2632,3.3355
18,3.2459,3.3263
19,3.2193,3.2890
20,3.2032,3.2815
21,3.1767,3.2445
22,3.1459,3.2323
23,3.1333,3.2026
24,3.1130,3.1912
25,3.0875,3.1610
26,3.0691,3.1404
27,3.0690,3.1372
28,3.0534,3.1167
29,3.0542,3.1169
30,3.0357,3.1099
31,3.0340,3.0849
32,3.0189,3.0897
33,3.0092,3.0909
34,3.0043,3.0766
35,2.9952,3.0693
36,2.9886,3.0458
