0,3.7563,3.7763
1,3.6583,3.6699
2,3.5862,3.6010
3,3.5094,3.5334
4,3.4394,3.4645
5,3.3655,3.3820
6,3.3138,3.3363
7,3.2588,3.2915
8,3.2168,3.2436
9,3.1660,3.1992
10,3.1145,3.1586
11,3.0549,3.0858
12,3.0268,3.0453
13,2.9961,3.0440
14,2.9713,3.0081
15,2.9419,2.9672
16,2.9168,2.9503
17,2.8882,2.9232
18,2.8781,2.8887
19,2.8524,2.8701
20,2.8188,2.8526
21,2.8058,2.8249
22,2.7955,2.8014
23,2.7730,2.7943
24,2.7591,2.7908
25,2.7541,2.7762
26,2.7501,2.7640
27,2.7537,2.7553
28,2.7512,2.7633
29,2.7451,2.7774
30,2.7473,2.7676
31,2.7517,2.7834
