0,3.8769,3.9489
1,3.7767,3.8397
2,3.6765,3.7487
3,3.5863,3.6692
4,3.5053,3.6043
5,3.4308,3.5118
6,3.3716,3.4608
7,3.3130,3.4285
8,3.2587,3.3442
9,3.2059,3.2991
10,3.1565,3.2335
11,3.1196,3.2289
12,3.0984,3.1870
13,3.0816,3.1746
14,3.0555,3.1562
15,3.0342,3.1244
16,3.0151,3.1208
17,2.9974,3.0560
18,2.9770,3.0500
19,2.9614,3.0556
20,2.9438,3.0295
21,2.9283,3.0079
22,2.9075,3.0050
23,2.8980,2.9766
24,2.8818,2.9661
25,2.8711,2.9585
26,2.8556,2.9178
27,2.8407,2.9216
28,2.8283,2.8831
29,2.8238,2.9063
30,2.8210,2.8913
31,2.8217,2.8839
